Source code repositories,,Issue tracking systems,,Architectural documentation,,,,,,,,,
System,# papers,System,# papers,System,# papers,,,,,,,,
Lakeside Mutual,1,,,,,Lakeside Mutual,Lakeside Mutual,,,,,,
libcloud,1,,,,,libcloud,libcloud,,,,,,
libgdx,1,,,,,libgdx,libgdx,,,,,,
Linux,1,,,,,Linux,Linux,,,,,,
logback,1,,,,,logback,logback,,,,,,
Mabatis,1,,,,,Mabatis,Mabatis,,,,,,
marauroa,1,,,,,marauroa,marauroa,,,,,,
MassTransit,1,,,,,MassTransit,MassTransit,,,,,,
mayan-edms,1,,,,,mayan-edms,mayan-edms,,,,,,
mayocat,1,,,,,mayocat,mayocat,,,,,,
MD PnP,1,,,,,MD PnP,MD PnP,,,,,,
megamek,1,,,,,megamek,megamek,,,,,,
mezzanine,1,,,,,mezzanine,mezzanine,,,,,,
mitmproxy,1,,,,,mitmproxy,mitmproxy,,,,,,
Mobile Media,1,,,,,Mobile Media,Mobile Media,,,,,,
Mockito,1,,,,,Mockito,Mockito,,,,,,
MonoDevelop,1,,,,,MonoDevelop,MonoDevelop,,,,,,
MPAndroidChart,1,,,,,MPAndroidChart,MPAndroidChart,,,,,,
mvnforum,1,,,,,mvnforum,mvnforum,,,,,,
MvvmFX,1,,,,,MvvmFX,MvvmFX,,,,,,
mwlib,1,,,,,mwlib,mwlib,,,,,,
MyBatis3,1,,,,,MyBatis3,MyBatis3,,,,,,
myfaces_core,1,,,,,myfaces_core,myfaces_core,,,,,,
Mylyn,1,,,,,Mylyn,Mylyn,,,,,,
Mythdroid,1,,,,,Mythdroid,Mythdroid,,,,,,
Mythmote,1,,,,,Mythmote,Mythmote,,,,,,
nakedobjects,1,,,,,nakedobjects,nakedobjects,,,,,,
Nancy,1,,,,,Nancy,Nancy,,,,,,
nekohtml,1,,,,,nekohtml,nekohtml,,,,,,
netty,1,,,,,netty,netty,,,,,,
Nifi,1,,,,,Nifi,Nifi,,,,,,
nltk,1,,,,,nltk,nltk,,,,,,
NSpec,1,,,,,NSpec,NSpec,,,,,,
ofBiz,1,,,,,ofBiz,ofBiz,,,,,,
offlineimap,1,,,,,offlineimap,offlineimap,,,,,,
OODT,1,,,,,OODT,OODT,,,,,,
Open GPSTracker,1,,,,,Open GPSTracker,Open GPSTracker,,,,,,
OpenEMR,1,,,,,OpenEMR,OpenEMR,,,,,,
openjms,1,,,,,openjms,openjms,,,,,,
